Keyword;Avg. monthly searches;Cambio en los últimos tres meses;Cambio interanual;Competition;Competition (indexed value);Top of page bid (low range);Top of page bid (high range);In account?;Searches: Nov 2023;Searches: Dec 2023;Searches: Jan 2024;Searches: Feb 2024;Searches: Mar 2024;Searches: Apr 2024;Searches: May 2024;Searches: Jun 2024;Searches: Jul 2024;Searches: Aug 2024;Searches: Sep 2024;Searches: Oct 2024;Searches: Nov 2024
ley de riesgo de trabajo;3600;22%;-19%;Bajo;3;$41,19;2042,14;;5400;2900;1600;2400;2900;3600;4400;4400;2900;3600;3600;4400;4400
in itinere accidente;2400;0%;-17%;Bajo;26;$61,63;173,26;Y;2900;1900;1300;1600;2400;2900;3600;2900;2400;2900;2400;2900;2400
laboralistas;2400;0%;0%;Bajo;8;$51,05;285,9;;2900;2400;1900;1900;2900;2900;2900;2400;2400;2900;2900;2900;2900
laboralista;2400;0%;0%;Bajo;8;$51,05;285,9;;2900;2400;1900;1900;2900;2900;2900;2400;2400;2900;2900;2900;2900
calculadora de indemnización por despido;2400;0%;-21%;Medio;41;$51,79;159,07;;2400;2400;2400;2900;2900;2900;2900;1900;2400;2400;1900;1900;1900
abogado s;2400;26%;-17%;Bajo;25;$111,34;360;;2900;1900;2400;2400;3600;2900;2900;2400;2400;2900;1900;2400;2400
calcular indemnización art;1900;0%;-16%;Medio;54;$45,17;281,21;Y;1900;1300;1600;1900;1900;1900;1900;1600;1600;1900;1600;1900;1600
tabla de incapacidades laborales;1900;-16%;-16%;Bajo;17;$40,63;71,47;;1900;1600;2400;2400;2900;2900;3600;2400;1900;2400;1900;2400;1600
abogados gratis;1900;19%;0%;Alto;78;$86,50;316,63;;1900;1900;1900;2400;2400;1900;2400;1900;1900;1900;1600;1900;1900
abogado gratis;1900;19%;0%;Alto;78;$86,50;316,63;;1900;1900;1900;2400;2400;1900;2400;1900;1900;1900;1600;1900;1900
simulador indemnización por accidente laboral;1600;-32%;-32%;Medio;63;$62,97;296,27;Y;1900;1300;1900;1900;2400;2400;1900;1600;1300;1900;1900;1600;1300
tabla de indemnización por accidente de trabajo;1600;-19%;30%;Medio;58;$44,61;285,27;;1000;880;1900;1900;1900;1900;1600;1300;1300;1600;1600;1600;1300
indemnización por despido sin causa;1600;0%;-38%;Medio;51;$50,91;221,05;;1600;1600;1600;1600;1600;1900;1600;1300;1000;1300;1000;1000;1000
despido con preaviso;1600;0%;-19%;Bajo;15;$55,18;245,06;;1600;1300;1600;1600;1900;1600;1600;1300;1600;1600;1300;1300;1300
accidentes laboral;1600;0%;-16%;Bajo;31;$66,49;344,4;;1900;1000;880;1000;1900;2400;2400;1900;1300;1600;1600;1600;1600
accidente d etrabajo;1600;0%;-32%;Bajo;31;$66,79;349,27;;1900;1300;880;880;1600;2400;1900;1900;1300;1600;1300;1600;1300
calculadora de indemnización art;1300;0%;-19%;Medio;56;$48,03;296,27;Y;1600;1000;1300;1600;1600;1600;1600;1300;1300;1600;1300;1600;1300
gestion legal;1300;-38%;-38%;Bajo;15;$146,82;1255,91;;1600;1000;1300;720;880;1000;1300;880;1300;1300;1600;1300;1000
despido sin causa;1300;-23%;-47%;Medio;45;$49,27;265,48;;1900;1300;1300;1300;1600;1300;1300;1000;1000;1000;1300;1000;1000
calculadora ripte;1300;0%;116%;Bajo;17;$17,51;130,14;;880;880;1300;1600;1600;1600;2400;2400;1900;2400;1900;2400;1900
indemnización por despido calculadora;1000;0%;48%;Medio;50;$49,79;153,77;;880;1000;1000;1300;1600;1600;1600;1000;1000;1000;1300;1300;1300
calculadora art;1000;-23%;0%;Medio;43;$38,88;144,44;Y;1000;880;1000;1000;1000;1000;1000;1000;1000;1300;1300;1300;1000
estudio de abogados;1000;-23%;0%;Medio;42;$159,37;486,44;;1000;880;1000;1000;1300;1000;1300;1000;1000;1300;1300;1000;1000
estudio de abogado;1000;-23%;0%;Medio;42;$159,37;486,44;;1000;880;1000;1000;1300;1000;1300;1000;1000;1300;1300;1000;1000
despido con causa ejemplos;1000;0%;-12%;Bajo;33;$10,76;179,09;;1000;880;1000;1000;1600;1600;1300;1000;880;1000;880;880;880
despido con causa;1000;0%;-45%;Bajo;31;$38,55;197,05;;1600;1000;1000;880;880;880;1000;880;720;880;880;880;880
conviene hacer juicio ala art;1000;-18%;-45%;Medio;56;$61,68;258,03;;1300;1300;1300;1600;1300;1300;1300;880;880;1000;880;1000;720
calculadora de despido;1000;0%;0%;Medio;45;$57,06;178,58;;1000;1000;1000;1300;1300;1600;1300;1000;1000;1000;1000;1000;1000
indemnización por accidente laboral;880;0%;-12%;Medio;61;$45,60;392,19;Y;1000;720;880;720;880;880;1000;720;880;880;880;880;880
indemnizacion art;720;-19%;-33%;Medio;62;$40,91;271;Y;720;590;590;590;590;590;590;590;590;590;590;590;480
plazo para denunciar accidente de trabajo en art;720;0%;22%;Medio;53;$66,86;317,06;;720;590;720;720;880;880;880;720;720;880;880;1000;880
indemnización art;720;-19%;-33%;Medio;62;$40,91;271;;720;590;590;590;590;590;590;590;590;590;590;590;480
derechos laborales que es;720;0%;-52%;Bajo;11;$56,91;287,73;;1000;590;40;260;880;1000;1300;720;390;590;480;590;480
abogados laboralista gratis;720;0%;0%;Alto;87;$227,03;818,85;;720;720;720;880;880;720;720;720;720;720;720;720;720
abogados laborales gratis;720;0%;0%;Alto;87;$227,03;818,85;;720;720;720;880;880;720;720;720;720;720;720;720;720
ley riesgo de trabajo;590;22%;0%;Bajo;3;$47,59;2042,14;;880;480;320;480;590;720;720;720;590;720;720;880;880
indemnizaciónes laborales;590;-19%;0%;Medio;41;$39,30;209,4;;390;880;390;390;480;590;720;590;480;480;480;480;390
indemnización por antigüedad;590;23%;-18%;Medio;37;$50,84;221,42;;720;720;590;590;590;720;720;480;480;590;480;480;590
despido sin causa ejemplos;590;0%;-33%;Medio;35;$54,98;197,37;;720;590;590;590;880;720;590;480;390;480;480;480;480
baremo laboral;590;0%;0%;Bajo;1;$205,33;2042,14;;590;480;480;590;590;720;720;590;480;720;590;590;590
abogados accidentes de tránsito;590;0%;-19%;Medio;57;$488,62;2632,81;;590;590;720;590;720;720;590;590;480;590;480;480;480
art accidente de trabajo;480;-19%;-46%;Medio;64;$71,65;469,69;Y;720;590;390;390;480;480;590;390;390;390;480;480;390
trabajo art;480;0%;-19%;Medio;40;$76,45;246,54;;480;390;390;390;480;390;390;390;390;480;390;390;390
indemnización por despido con causa;480;-18%;-33%;Medio;51;$34,73;217,23;;480;480;480;480;480;590;590;390;320;390;390;390;320
hernia lumbar síntomas;480;-19%;0%;Bajo;27;$10,79;46,24;;390;390;480;480;480;480;480;390;480;480;480;390;390
diferencia entre alta médica y alta laboral;480;0%;-46%;Bajo;0;;;;590;590;590;480;480;590;590;480;480;390;320;390;320
art trabajo;480;0%;-19%;Medio;40;$76,45;246,54;;480;390;390;390;480;390;390;390;390;480;390;390;390
abogados santa fe;480;0%;0%;Medio;45;$91,10;267,54;;480;390;480;390;590;590;720;720;480;590;480;480;480
abogado laboral caba;480;0%;0%;Alto;70;$537,54;1572,33;;480;480;720;480;720;590;720;590;480;480;480;480;480
calculadora de art;390;22%;22%;Medio;52;$48,44;298,34;Y;320;320;320;390;320;480;480;390;320;390;320;390;390
ley de la art;390;22%;-19%;Bajo;5;$40,28;643,12;;480;320;210;260;320;390;390;390;320;320;320;390;390
la art me dio el alta sin incapacidad;390;0%;-19%;Bajo;28;$38,55;168,21;;590;390;390;480;390;480;590;390;480;480;480;480;480
juicio a la art paso a paso;390;-19%;-33%;Medio;57;$62,04;169,77;;390;260;320;390;320;390;390;320;260;320;320;390;260
fractura de perone operacion;390;0%;-19%;Bajo;1;$47,97;154,13;;480;480;590;390;320;320;390;390;480;390;390;390;390
formula de incapacidad laboral;390;0%;23%;Medio;42;$40,56;104,28;;390;320;390;590;590;590;720;390;390;480;480;480;480
enfermedad profesional art;390;-19%;-19%;Medio;58;$61,49;210,12;;480;260;320;320;390;480;480;390;390;480;480;390;390
motivos de despido injustificado;390;0%;0%;Bajo;7;$47,01;112,32;;390;390;390;390;390;480;480;320;390;390;390;390;390
calculo indemnizacion art con ripte;390;-33%;50%;Medio;50;$49,84;299,62;;320;260;480;590;590;720;590;590;590;880;720;480;480
calculadora por despido;390;-18%;0%;Medio;44;$53,56;202,32;;320;260;390;390;480;480;480;390;390;390;390;390;320
calculadora indemnizacion art con ripte;390;-33%;50%;Medio;50;$49,84;299,62;;320;260;480;590;590;720;590;590;590;880;720;480;480
calculadora ibm con ripte;390;-33%;-18%;Medio;35;$34,43;326,78;;390;390;480;590;590;590;720;480;480;590;480;480;320
calculadora de incapacidad laboral;390;0%;23%;Medio;42;$40,56;104,28;;390;320;390;590;590;590;720;390;390;480;480;480;480
calculadora de incapacidad;390;-34%;-34%;Bajo;28;$32,87;95,74;;320;320;320;390;390;390;390;260;260;320;320;320;210
art que cubre;390;0%;-19%;Medio;48;$39,65;163,88;;480;320;260;320;390;480;390;390;390;390;390;390;390
accidentes de transito abogado;390;-18%;-33%;Alto;74;$359,29;2861,88;;480;390;390;390;390;480;480;390;390;390;390;390;320
accidente de trabajo ejemplo;390;-19%;-46%;Bajo;20;$40,13;142,95;;480;170;70;110;480;880;480;480;260;320;320;260;260
abogados trabajo;390;0%;23%;Bajo;20;$43,02;428,85;;390;320;480;390;390;480;590;390;390;480;480;590;480
abogados en accidentes de transito;390;-18%;-33%;Alto;74;$359,29;2861,88;;480;390;390;390;390;480;480;390;390;390;390;390;320
abogados consulta gratis;390;0%;0%;Alto;80;$116,76;408,43;;390;390;390;480;480;390;390;390;390;390;390;390;390
abogado trabajo;390;0%;23%;Bajo;20;$43,02;428,85;;390;320;480;390;390;480;590;390;390;480;480;590;480
abogado de accidente de tránsito;390;-18%;-33%;Alto;74;$359,29;2861,88;;480;390;390;390;390;480;480;390;390;390;390;390;320
abogado consulta gratis;390;0%;0%;Alto;80;$116,76;408,43;;390;390;390;480;480;390;390;390;390;390;390;390;390
abogados art;320;24%;-19%;Medio;66;$409,94;2285,56;Y;320;260;320;390;390;390;260;260;260;260;210;260;260
accidente laboral art;320;0%;-18%;Medio;61;$66,48;332,28;Y;390;320;260;320;390;390;390;320;320;390;320;390;320
calculadora accidente de trabajo;320;0%;0%;Medio;43;$40,04;135,97;Y;320;260;390;390;320;390;390;320;260;390;320;390;320
plazo para denunciar un accidente de trabajo;320;-21%;-72%;Medio;45;$65,95;234,89;;390;260;260;260;320;320;320;140;210;170;140;170;110
indemnización por lumbalgia art;320;-56%;-56%;Medio;62;$56,21;277,26;;320;260;260;320;390;390;390;260;320;390;320;260;140
indemnización despido sin causa;320;24%;-46%;Medio;43;$57,25;255,27;;480;390;390;480;390;390;480;390;320;260;210;210;260
indemnización calculadora;320;-18%;0%;Medio;36;$49,51;110,44;;320;260;260;320;480;390;390;320;320;390;390;320;320
fisura de perone;320;-19%;-19%;Bajo;0;;;;320;260;260;260;210;210;320;210;260;320;320;320;260
estudio abogados;320;50%;22%;Bajo;29;$166,65;478,79;;320;260;320;390;390;390;390;260;260;720;260;320;390
dr abogados;320;52%;23%;Bajo;5;$50,65;220,07;;260;320;320;320;390;390;320;320;320;320;210;320;320
disco herniado tratamiento;320;-19%;-19%;Medio;34;$15,98;107,54;;260;260;480;480;390;390;390;320;320;320;260;210;210
calculo de indemnizacion por accidente de trabajo;320;-34%;-46%;Medio;50;$48,41;329,11;;390;260;260;320;390;390;390;320;260;320;320;260;210
calculadora indemnización por fallecimiento;320;24%;-46%;Bajo;19;$29,74;129,95;;390;320;320;390;260;390;320;170;210;210;170;170;210
baremo art;320;0%;0%;Bajo;8;$28,21;126,27;;260;260;320;260;390;320;320;210;260;320;260;260;260
accidentes de trabajo ley;320;0%;-19%;Bajo;17;$55,43;204,21;;480;320;210;260;320;390;480;390;320;320;390;390;390
abogados en buenos aires;320;-34%;22%;Medio;63;$211,27;715,52;;320;320;390;480;390;390;390;260;390;390;590;320;390
abogada buenos aires;320;-34%;22%;Medio;63;$211,27;715,52;;320;320;390;480;390;390;390;260;390;390;590;320;390
tratamiento para hernia de disco;260;-19%;-35%;Medio;53;$20,19;99,3;;260;210;260;260;210;260;260;210;210;210;210;210;170
calculadora de incapacidad art;260;0%;-72%;Medio;48;$52,74;276,41;Y;390;170;210;210;170;260;210;140;210;210;110;110;110
telegrama despido;260;-19%;-34%;Bajo;9;$76,13;178,51;;320;320;320;260;320;260;260;170;320;210;260;260;210
si me despiden que me corresponde;260;0%;0%;Medio;65;$55,87;285,82;;260;260;320;320;320;320;320;260;210;260;260;260;260
quebradura de perone;260;0%;-19%;Bajo;3;$45,76;46,4;;260;210;210;260;210;210;260;260;260;260;210;210;210
preaviso despido sin causa;260;-19%;-19%;Bajo;32;$61,76;220,96;;260;260;260;390;320;320;260;260;260;320;260;260;210
pre aviso de despido;260;24%;-19%;Bajo;23;$57,09;248,38;;320;260;260;260;260;260;260;260;260;260;210;260;260
plazo dictamen comisión médica;260;-19%;-47%;Bajo;1;;;;320;260;260;260;260;320;260;140;210;210;210;260;170
operacion de hernia discal riesgos;260;-18%;-46%;Bajo;4;$30,63;142,32;;260;210;210;210;210;210;260;210;210;210;170;170;140
la art me dio el alta y sigo con dolor;260;-18%;-46%;Medio;51;$67,24;706,92;;260;210;210;210;170;210;110;90;140;140;170;140;140
hernia l5 s1;260;0%;23%;Bajo;17;$32,36;59,6;;260;260;260;210;320;320;320;260;320;260;320;320;320
estudio juridico laboral;260;-19%;-34%;Medio;34;$181,93;635,69;;320;260;320;320;260;260;320;210;260;260;260;260;210
art como funciona;260;0%;-34%;Medio;64;$60,81;190,64;;320;140;210;210;260;260;260;210;260;260;210;260;210
accidente itinere;260;0%;0%;Bajo;25;$54,68;178,01;;260;170;170;140;260;320;390;320;260;260;260;260;260
abogados online gratis;260;-33%;-46%;Alto;82;$102,11;381,59;;260;210;260;210;170;210;260;210;210;210;210;170;140
indemnización por art;210;-19%;-19%;Medio;62;$41,10;246,02;Y;210;170;210;210;170;260;260;210;210;260;210;210;170
trámite por rechazo de siniestro art;210;0%;24%;Medio;51;$65,76;235,89;;170;140;140;210;210;210;210;170;170;210;210;210;210
reclamo seguro;210;0%;-35%;Bajo;17;$34,33;173,23;;170;140;170;170;140;210;170;110;140;110;110;170;110
me llegó una carta documento de la art;210;-34%;-19%;Bajo;18;$71,21;253,02;;260;170;210;260;260;260;210;140;320;320;320;260;210
juicios ganados a art;210;0%;-47%;Medio;49;$66,35;134,18;;170;140;170;210;210;260;210;110;90;110;90;140;90
juicio a art;210;0%;0%;Medio;65;$70,23;216,08;;210;140;170;170;260;170;210;170;170;210;210;210;210
indemnizacion por preaviso;210;24%;-34%;Bajo;23;$55,30;255,27;;320;210;210;260;260;260;320;210;210;210;170;210;210
firma en disconformidad art;210;-18%;-56%;Bajo;32;$65,32;117,45;;320;210;210;260;210;210;210;170;140;140;170;170;140
estudios jurídicos caba;210;0%;22%;Alto;67;$202,09;461,71;;90;140;260;210;170;210;140;170;260;320;110;210;110
estudio juridico la plata;210;27%;-46%;Medio;57;$112,01;503,43;;260;110;320;320;260;260;260;320;210;260;110;140;140
disco de columna;210;-19%;0%;Bajo;1;;;;210;170;260;170;260;170;260;210;210;170;260;210;210
determinación de incapacidad srt;210;-19%;53%;Medio;35;$41,10;133,61;;170;170;210;260;260;260;320;260;320;320;320;320;260
despido injustificado;210;0%;-35%;Medio;46;$68,14;326,74;;260;170;170;210;260;210;260;210;170;170;170;210;170
calculadora incapacidad laboral;210;-18%;-18%;Medio;37;$40,35;95,61;;170;170;170;170;210;170;210;170;170;210;170;170;140
accidente y siniestro;210;-35%;-35%;Bajo;5;$119,63;417,78;;260;170;140;140;210;210;260;210;260;210;260;260;170
abogados guia;210;0%;-19%;Bajo;7;$101,38;171,49;;260;210;90;210;210;210;210;170;140;210;210;210;210
abogados en argentina;210;21%;0%;Medio;54;$122,53;449,27;;170;170;140;170;170;210;170;170;210;260;140;170;170
abogado laboral buenos aires;210;0%;-19%;Alto;79;$618,26;1638,15;;260;260;260;320;260;260;260;170;210;210;210;210;210
abogado de tránsito;210;24%;-19%;Alto;69;$665,89;2980,52;;260;210;260;260;320;260;260;210;210;260;170;210;210
abogado de transito;210;24%;-19%;Alto;69;$665,89;2980,52;;260;210;260;260;320;260;260;210;210;260;170;210;210
tibia y peroné partes;170;53%;136%;Bajo;0;;;;110;110;70;110;110;210;210;210;140;170;170;210;260
simulador indemnizacion;170;0%;-19%;Medio;42;$52,14;173,58;;210;170;170;210;210;260;260;170;110;210;170;170;170
porque la art rechaza un siniestro;170;-18%;-65%;Medio;55;$54,43;232,15;;260;210;210;210;320;320;210;140;110;110;110;140;90
por despido cuanto me corresponde;170;0%;0%;Medio;49;$52,96;265,01;;140;140;170;170;260;210;170;140;170;170;140;140;140
ejemplo de indemnización por accidente de trabajo;170;0%;57%;Medio;53;$59,67;310,57;;70;40;90;140;170;170;210;140;140;140;110;90;110
divergencia en la determinación de la incapacidad srt;170;-33%;-18%;Bajo;16;$41,27;194,42;;170;110;140;210;210;210;210;170;210;210;210;210;140
disco l5s1;170;0%;0%;Bajo;5;$18,85;46,02;;170;140;210;170;210;170;170;140;140;210;170;210;170
despido con indemnizacion;170;0%;-19%;Medio;46;$67,65;224,64;;210;260;210;210;260;320;260;170;170;170;170;170;170
denuncia art;170;0%;-19%;Medio;42;$65,86;220,95;;210;140;170;170;170;210;170;140;170;170;170;170;170
consulta abogado;170;-18%;-18%;Alto;68;$156,62;643,47;;170;170;140;170;170;210;170;140;170;210;170;170;140
consulta a abogado;170;-18%;-18%;Alto;68;$156,62;643,47;;170;170;140;170;170;210;170;140;170;210;170;170;140
cálculo indemnización por enfermedad profesional;170;-35%;-21%;Medio;64;$56,43;298,34;;140;110;140;170;210;210;170;140;140;210;170;170;110
calcular indemnizacion por enfermedad profesional;170;-35%;-21%;Medio;64;$56,43;298,34;;140;110;140;170;210;210;170;140;140;210;170;170;110
calcular indemnizacion accidente;170;-18%;-47%;Medio;44;$40,91;262,93;;170;110;170;170;170;210;170;140;140;140;110;140;90
calculadora incapacidad art;170;24%;53%;Medio;43;$40,42;143,81;;170;90;140;210;210;210;170;170;170;260;210;260;260
calculadora de indemnización por accidente laboral;170;0%;-33%;Medio;54;$64,41;336,95;;210;140;140;170;210;170;170;170;110;110;140;110;140
calculadora de indemnización argentina;170;0%;86%;Medio;60;$55,86;145,06;;140;140;170;170;260;260;210;170;170;320;260;320;260
aseguradora de riesgo de trabajo art;170;0%;24%;Medio;52;$131,20;629,54;;210;90;90;110;140;170;210;210;170;170;260;260;260
art seguro de trabajo;170;55%;-19%;Alto;67;$239,86;1035,87;;210;140;110;140;110;90;140;140;140;90;110;170;170
art laboral;170;21%;0%;Medio;58;$87,10;384,24;;170;110;140;170;210;170;170;170;140;140;140;210;170
accidente trabajador;170;0%;-33%;Bajo;31;$65,95;320,02;;210;140;110;90;170;210;210;210;110;170;140;140;140
accidente laboral que es;170;0%;-47%;Bajo;26;$66,49;326,85;;320;110;30;70;260;320;390;260;170;140;170;170;170
accidente in itinere argentina;170;0%;-18%;Medio;53;$65,86;137,67;;170;70;110;140;260;170;140;210;140;110;140;170;140
accidente en el trabajo;170;0%;-33%;Bajo;31;$65,95;320,02;;210;140;110;90;170;210;210;210;110;170;140;140;140
abogados online;170;50%;50%;Alto;78;$173,53;766,77;;140;170;170;170;170;210;170;140;170;170;140;170;210
abogados consultas;170;-18%;-18%;Alto;68;$156,62;643,47;;170;170;140;170;170;210;170;140;170;210;170;170;140
abogada online;170;50%;50%;Alto;78;$173,53;766,77;;140;170;170;170;170;210;170;140;170;170;140;170;210
tipo de accidente laboral;140;21%;-19%;Bajo;26;$63,91;207;;210;90;30;70;90;210;210;170;140;140;140;140;170
servicios juridico;140;27%;27%;Medio;47;$101,38;347,73;;110;110;110;110;140;140;170;140;110;170;110;110;140
reintegro art empleador;140;-33%;-82%;Bajo;19;$66,52;241,38;;110;90;90;70;70;90;70;50;30;50;30;30;20
rechazo de siniestro art plazo;140;0%;-59%;Medio;46;$65,89;298,38;;170;110;90;110;70;70;90;90;70;70;70;110;70
oficina de abogados;140;21%;21%;Bajo;23;$128,31;327,58;;140;140;110;140;140;170;140;170;140;170;140;140;170
liquidacion despido con causa;140;0%;0%;Medio;40;$49,40;214,42;;140;140;140;140;170;170;170;140;140;140;140;140;140
liquidacion art;140;0%;-21%;Medio;52;$40,92;155,49;;140;110;110;140;140;110;110;110;110;110;110;110;110
hernia de disco cervical tratamiento;140;-55%;-64%;Medio;35;$20,17;82,3;;140;110;110;90;140;140;140;90;90;110;110;110;50
hernia cuello;140;21%;0%;Bajo;10;$30,63;46,4;;170;170;170;140;170;210;140;140;140;140;140;170;170
fractura de tibia cirugia;140;-36%;-36%;Bajo;1;;;;140;170;170;110;140;140;140;170;140;110;140;110;90
despido directo;140;21%;-35%;Bajo;10;$45,12;178,56;;260;140;50;110;110;110;140;170;90;110;140;140;170
columna discos;140;0%;0%;Bajo;4;$10,22;77,93;;140;110;170;110;110;140;170;110;110;110;140;170;140
calcular porcentaje de incapacidad;140;0%;-36%;Medio;44;$39,15;75;;140;110;110;110;140;140;110;140;110;140;90;110;90
calculadora de indemnización por art;140;-48%;0%;Medio;61;$62,09;298,34;;110;140;140;110;140;170;170;140;110;140;210;210;110
calculadora de indemnización por accidente de tránsito;140;0%;21%;Medio;55;$67,55;443,73;;140;140;110;170;210;260;210;210;170;210;170;170;170
calculadora de indemnizacion laboral;140;-19%;0%;Bajo;31;$49,29;115,98;;170;140;110;140;170;170;170;170;170;170;210;170;170
art paga honorarios abogado;140;-44%;-55%;Medio;54;$71,93;364,75;;110;110;110;90;110;140;110;90;50;90;90;70;50
accidente laboral argentina;140;0%;-18%;Medio;53;$61,72;125,96;;170;50;40;70;140;260;170;110;70;110;140;90;140
abogado laboral la plata;140;0%;-35%;Alto;68;$314,47;827,07;;170;170;110;170;260;210;170;110;210;90;110;140;110
calcular indemnización por accidente laboral;110;29%;-18%;Medio;56;$47,72;203,36;Y;110;70;70;70;110;70;90;70;70;70;70;70;90
trabajo para abogados;110;-18%;-36%;Medio;38;$15,68;306,32;;140;90;140;170;140;110;140;90;90;140;110;140;90
trabajo de abogado;110;-33%;56%;Bajo;33;$20,29;372,69;;90;90;110;170;140;140;170;110;110;170;210;170;140
sistema de riesgos del trabajo;110;27%;27%;Medio;34;$112,32;657,43;;110;70;30;40;70;170;170;140;90;140;110;110;140
servicios legales;110;-47%;-65%;Bajo;17;$60,72;216,24;;260;70;170;90;170;110;140;50;70;170;170;90;90
protusion discal cervical;110;-18%;-18%;Bajo;15;$11,12;46,4;;110;70;70;70;70;70;210;140;110;140;110;110;90
procedimiento en caso de accidente laboral argentina;110;0%;-55%;Medio;65;$66,19;161,05;;110;110;70;90;90;110;110;70;90;50;50;70;50
preaviso empleado;110;0%;-21%;Bajo;4;$2,84;2042,14;;140;110;110;110;90;110;140;70;110;110;110;110;110
plazo para denunciar enfermedad profesional;110;-36%;-50%;Medio;35;$66,09;253,64;;140;90;110;110;90;110;90;90;90;110;110;110;70
mejor abogado de argentina;110;25%;-29%;Medio;43;$63,44;199,14;;70;70;70;70;70;70;90;170;110;70;40;50;50
licencia por accidente de trabajo;110;0%;-59%;Bajo;30;$51,38;185,77;;170;110;50;70;90;90;90;110;90;90;70;90;70
l4 y l5 hernia discal;110;0%;0%;Bajo;17;$16,23;46,4;;110;110;90;90;110;90;90;90;90;140;110;110;110
ingreso base mensual;110;57%;-21%;Bajo;4;$25,55;45,3;;140;110;70;140;140;110;110;140;90;90;70;110;110
indemnización por hipoacusia laboral;110;22%;22%;Medio;40;$40,73;142,41;;90;70;110;110;140;140;140;110;110;140;90;110;110
indemnización por accidente de transito;110;0%;-21%;Medio;60;$170,76;533,05;;140;70;90;90;70;110;70;70;90;140;110;110;110
indemnizacion por accidente de transito;110;0%;-21%;Medio;60;$170,76;533,05;;140;70;90;90;70;110;70;70;90;140;110;110;110
estudio juridico buenos aires;110;29%;-47%;Medio;53;$134,75;497,62;;170;90;90;170;170;90;90;170;90;70;70;210;90
dictamen médico srt;110;0%;89%;Bajo;1;;;;90;50;110;90;90;110;170;110;170;110;170;170;170
causas de despido justificado;110;-18%;-36%;Medio;40;$2,83;139,99;;140;140;140;140;140;140;110;90;110;110;110;140;90
calculo ibm;110;-18%;-36%;Bajo;19;$28,63;77,04;;140;110;50;110;140;140;110;110;90;110;110;90;90
calcular ripte online;110;-64%;-71%;Bajo;30;$23,88;63,44;;170;140;140;110;170;70;170;140;110;140;140;90;50
calcular indemnización por art;110;-18%;-18%;Medio;63;$48,06;313,82;;110;90;140;140;140;140;140;90;90;140;110;140;90
calculadora indemnización por despido argentina;110;0%;89%;Medio;59;$57,39;207,59;;90;70;140;110;170;170;170;140;210;170;170;170;170
calculadora accidente laboral;110;0%;56%;Medio;46;$40,70;146,26;;90;70;90;110;140;140;170;140;140;170;140;170;140
art seguro laboral;110;-78%;-50%;Alto;67;$198,10;709,59;;40;90;140;90;140;210;140;50;90;170;90;90;20
alta médica laboral cuando empiezo a trabajar;110;-22%;-50%;Bajo;14;$34,99;102,47;;140;90;110;90;70;70;90;70;70;70;90;110;70
accidente laboral ejemplo;110;-36%;-36%;Bajo;30;$52,01;229,58;;110;90;20;70;140;260;170;170;90;110;110;70;70
accidente in itinere art;110;-18%;0%;Medio;46;$58,48;154,29;;90;70;70;50;90;90;140;140;110;140;110;110;90
accidente de trabajo tipos;110;-36%;-73%;Bajo;33;$62,52;162,04;;260;90;30;40;90;140;110;110;90;110;110;90;70
