Keyword MarinPistacchia;;;;;;;
1 de julio de 2023 - 30 de junio de 2024;;;;;;;
;;;;;;;
Keyword;Avg. monthly searches;Cambio en los últimos tres meses;Cambio interanual;Competition;Competition (indexed value);Top of page bid (low range);Top of page bid (high range)
hernia de disco porque se produce;500;0%;0%;Bajo;16;10.28;41.02
hernia de disco que es;500;0%;0%;Bajo;13;10.21;41.40
hernia de disco se cura;500;0%;0%;Bajo;16;13.91;47.85
hernia de disco se opera;500;0%;-90%;Bajo;25;13.42;59.86
hernia del cuello;500;0%;0%;Bajo;7;11.58;41.58
hernia discal ejercicio físico;500;0%;0%;Bajo;9;13.22;74.70
hernia discal en cervicales;500;0%;0%;Bajo;17;11.30;41.40
hernia discal en l5 s1;500;0%;0%;Bajo;11;13.21;41.75
hernia discal en la cervical;500;0%;0%;Bajo;17;11.30;41.40
hernia discal l5 s1 operacion;500;0%;0%;Bajo;7;30.43;280.43
hernia discal que es;500;0%;0%;Bajo;11;10.17;41.28
hernia discal qué es;500;0%;0%;Bajo;11;10.17;41.28
hernia disco lumbar;500;0%;900%;Bajo;19;16.87;48.43
hernia dorsal;500;0%;0%;Bajo;17;10.14;41.58
hernia en disco de columna;500;0%;0%;Bajo;16;15.94;41.75
hernia en el disco de la columna;500;0%;0%;Bajo;16;15.94;41.75
hernia en la cintura;500;0%;0%;Bajo;8;11.96;41.62
hernia lumbosacra sintomas;500;0%;0%;Bajo;15;9.35;41.46
hernias de disco causas;500;0%;0%;Bajo;11;9.99;41.49
hernias de disco l4 y l5;500;0%;0%;Bajo;14;18.70;42.40
hernias de disco lumbar;500;0%;0%;Bajo;25;12.63;61.52
incapacidad laboral temporaria;500;0%;0%;Bajo;13;35.89;109.27
indemnizacion por incapacidad;500;0%;0%;Bajo;31;35.91;201.51
indemnización calculadora;500;0%;0%;Bajo;26;31.39;598.17
indemnización por accidente de tránsito argentina;500;0%;0%;Medio;57;134.47;514.01
ingreso base mensual;500;0%;0%;Bajo;1;;
juicio a art;500;0%;0%;Medio;49;71.78;235.58
juicios ganados a art;500;0%;0%;Medio;41;63.08;131.68
junta médica para evaluar incapacidad;500;0%;0%;Bajo;15;32.92;131.70
l4 l5 protrusión discal;500;0%;0%;Bajo;18;10.16;41.61
la art me dio el alta sin incapacidad;500;0%;0%;Bajo;27;37.12;264.01
la hernia de disco se cura;500;0%;0%;Bajo;16;13.91;47.85
la hernia de disco tiene cura;500;0%;0%;Bajo;17;13.90;41.40
ley de la art;500;0%;0%;Bajo;10;46.10;354.00
ley riesgo de trabajo;500;0%;0%;Bajo;3;23.91;57.40
liquidacion art;500;0%;0%;Bajo;30;32.32;310.86
me llegó una carta documento de la art;500;0%;0%;Bajo;17;71.82;235.93
operacion de tibia y perone;500;0%;0%;Bajo;6;2.75;112.86
operacion de tibia y perone con placa;500;0%;900%;Bajo;2;;
operacion tornillos en tibia y perone;500;0%;0%;Bajo;0;;
operación de hernia discal riesgos;500;0%;0%;Bajo;4;41.12;327.16
pensión por problemas de columna;500;0%;-90%;Bajo;14;20.66;110.00
plazo dictamen comisión médica;500;0%;0%;Bajo;5;100.46;392.97
porcentaje de incapacidad;500;0%;0%;Bajo;23;30.23;105.38
porcentaje de incapacidad por lumbalgia en argentina;500;0%;0%;Medio;36;24.09;67.62
porcentaje de incapacidad por protusión discal;500;0%;0%;Bajo;23;28.04;105.81
porque la art rechaza un siniestro;500;0%;0%;Medio;39;72.38;298.62
protrusión discal que es;500;0%;0%;Bajo;9;10.03;41.28
protrusión discal tratamiento;500;0%;0%;Bajo;20;10.15;29.90
protusion discal l5 s1;500;0%;0%;Bajo;10;10.61;41.75
protusion discal l5 s1 tratamiento;500;0%;0%;Bajo;17;14.39;53.47
protusion discal resonancia;500;0%;0%;Bajo;1;59.69;167.06
quebradura de perone;500;0%;0%;Bajo;4;41.28;41.75
quebradura de tibia;500;0%;0%;Bajo;2;41.02;41.72
rechazo de siniestro art plazo;500;0%;-90%;Bajo;26;42.57;218.05
recuperacion fractura de tibia;500;0%;0%;Bajo;2;;
rotura de peroné;500;0%;0%;Bajo;1;41.02;41.47
rotura de tibia y peroné;500;0%;0%;Bajo;3;2.65;41.45
se cura la hernia de disco;500;0%;0%;Bajo;16;13.91;47.85
se puede curar una hernia de disco;500;0%;0%;Bajo;16;13.91;47.85
simulador indemnizacion;500;0%;0%;Bajo;30;32.26;668.19
sintomas de hernia discal lumbar l4 l5;500;0%;0%;Bajo;14;11.90;53.42
sintomas hernia de disco cervical;500;0%;0%;Bajo;14;10.03;41.28
sistema de riesgos del trabajo;500;0%;0%;Bajo;23;71.56;172.93
síntomas de hernia cervical;500;0%;0%;Bajo;18;9.34;25.11
síntomas de hernia discal lumbar;500;0%;0%;Bajo;18;9.80;41.40
tabla de baremos incapacidad laboral;500;0%;900%;Bajo;23;24.79;84.31
tibia perone y tobillo;500;0%;0%;Bajo;1;;
tibia y peroné partes;500;0%;0%;Bajo;0;;
tibia y peroné tobillo;500;0%;0%;Bajo;1;;
trabajo art;500;0%;0%;Medio;34;77.10;294.99
tratamiento protusion discal l5 s1;500;0%;0%;Bajo;17;14.39;53.47
trámite por rechazo de siniestro art;500;0%;0%;Medio;35;51.27;239.86
valor de cada dedo de la mano;500;0%;0%;Bajo;11;39.44;162.22
valor de indemnización por hernia de disco argentina;500;0%;900%;Medio;46;47.23;518.33
valor de los dedos de la mano imss;500;0%;0%;Bajo;7;17.26;72.16
art seguro laboral;500;-90%;-90%;Medio;43;116.54;483.93
procedimiento en caso de accidente laboral argentina;500;-90%;-90%;Medio;48;67.08;293.04
hernia discal l4 l5;500;-90%;-90%;Bajo;12;18.70;62.61
grados de incapacidad art;500;-90%;0%;Bajo;31;32.89;93.03
indemnización por pérdida de audición art;500;-90%;-90%;Medio;38;36.22;172.45
la art me dio el alta y sigo con dolor;500;-90%;-90%;Medio;37;75.62;384.80
calcular indemnización por art;500;-90%;0%;Medio;45;36.27;215.09
cirugia de hernia de disco lumbar;500;-90%;-90%;Bajo;23;29.64;317.82
consecuencias de no operarse una hernia discal;500;-90%;-90%;Bajo;7;;
disco lumbar;500;-90%;-90%;Bajo;6;2.14;55.54
hernia de disco cervical tratamiento;500;-90%;-90%;Bajo;28;11.34;55.79
hernia discal l4 y l5;500;-90%;-90%;Bajo;12;18.70;62.61
incapacidad por fractura platillo tibial;500;-90%;0%;Bajo;22;28.45;71.47
indemnizacion por accidente de transito;500;-90%;-90%;Medio;38;119.60;426.55
l4 y l5 hernia discal;500;-90%;-90%;Bajo;12;18.70;62.61
plazo para denunciar enfermedad profesional;500;-90%;0%;Medio;33;66.66;212.74
porcentaje de incapacidad por hernia de disco cervical;500;-90%;-90%;Bajo;26;36.12;82.71
puntos de incapacidad art;500;-90%;0%;Medio;37;32.48;88.63
resonancia hernia de disco;500;-90%;-90%;Bajo;3;;
ejercicios para hernia lumbar;50;900%;900%;Bajo;16;11.83;66.15
accidente in itinere art;50;900%;900%;Medio;34;67.08;311.10
calculadora de ripte;50;900%;900%;Bajo;21;11.68;36.22
ejemplo cálculo ingreso base mensual;50;900%;900%;Bajo;20;16.15;44.89
ejercicios para una hernia lumbar;50;900%;900%;Bajo;16;11.83;66.15
hernia discal cervical síntomas;50;900%;900%;Bajo;18;10.24;44.79
perone quebrado;50;900%;900%;Bajo;1;41.14;41.68
protusion discal cervical;50;900%;900%;Bajo;9;10.16;41.71
sintomas de las hernias lumbares;50;900%;0%;Bajo;15;7.75;41.47
sintomas de una hernia lumbar;50;900%;0%;Bajo;15;7.75;41.47
abogados accidentes de trabajo;50;0%;0%;Medio;37;229.15;743.61
abogado accidente de trabajo;50;0%;0%;Medio;53;180.98;1467.97
indemnización por accidente;50;0%;0%;Medio;35;40.72;293.06
tabla indemnización por accidente;50;0%;0%;Medio;33;;
tuve un accidente en el trabajo que hago;50;0%;0%;Medio;36;;
demanda por accidente de trabajo;50;0%;0%;Bajo;30;84.24;344.45
accidente en el trabajo derecho laboral;50;0%;0%;Medio;48;37.27;499.56
calcular indemnización por accidente de tráfico;50;0%;0%;Medio;36;71.09;284.76
accidente en el trabajo que hacer;50;0%;0%;Medio;39;;
tabla de indemnizaciones por accidente de trabajo;50;0%;0%;Medio;53;36.28;393.15
compensacion por accidente laboral;50;0%;0%;Bajo;31;67.34;343.87
me accidente en el trabajo que debo hacer;50;0%;0%;Medio;50;108.19;492.21
calcula tu indemnización por accidente;50;0%;0%;Medio;52;39.19;405.73
demanda por accidente laboral;50;0%;0%;Bajo;32;67.38;277.67
si tengo un accidente de trabajo quien me paga;50;0%;0%;Bajo;31;;
calcular indemnizacion accidente trafico;50;0%;0%;Medio;37;;
operacion hernia discal;50;0%;0%;Bajo;23;16.87;261.73
tuve un accidente de trabajo;50;0%;0%;Medio;52;110.95;374.94
compensación por accidente de trabajo;50;0%;0%;Bajo;19;;
demanda laboral por accidente de trabajo;50;0%;0%;Bajo;20;;
demanda de accidente de trabajo;50;0%;0%;Medio;34;83.60;379.03
tabla de indemnizaciones por accidente laboral;50;0%;0%;Desconocido;;;
demanda accidente laboral;50;0%;0%;Bajo;29;;
indemnización por accidente de trabajo;50;0%;0%;Medio;41;46.44;340.57
indemnizacion accidente;50;0%;0%;Medio;33;;
hernia discal lumbar tratamiento;50;0%;0%;Bajo;20;12.75;80.09
secuelas por accidente laboral;50;0%;∞;Medio;57;;
si tuve un accidente laboral me corresponde indemnizacion;50;0%;-100%;Desconocido;;;
indemnizacion accidente laboral;50;0%;0%;Medio;46;63.17;434.53
indemnización por pérdida de un dedo en estados unidos;50;0%;0%;Desconocido;;;
valor de los dedos en accidentes laborales;50;0%;0%;Bajo;27;36.12;81.04
calcular indemnización por accidente;50;0%;0%;Medio;43;36.38;233.69
calcular indemnización por atropello;50;0%;∞;Medio;57;;
abogados de art;50;0%;0%;Medio;59;244.95;1412.75
indemnización por secuelas accidente laboral;50;0%;0%;Medio;33;;
hernia en la columna tratamiento;50;0%;0%;Bajo;24;13.35;31.15
accidente laboral cuanto se cobra;50;0%;0%;Medio;35;34.69;178.56
dolor hernia discal;50;0%;0%;Bajo;14;6.18;71.57
tuve un accidente de trabajo y no tengo seguro;50;0%;-100%;Desconocido;;;
calcular indemnización por hernia de disco;50;0%;0%;Medio;41;36.12;277.99
operacion hernia lumbar;50;0%;0%;Bajo;16;;
operacion de hernia lumbar;50;0%;0%;Bajo;32;34.46;306.49
tuve un accidente laboral que debo hacer;50;0%;0%;Medio;50;;
indemnización por accidente in itinere;50;0%;0%;Medio;63;66.86;310.49
si tengo un accidente fuera del trabajo quien me paga;50;0%;0%;Medio;43;67.38;356.05
calcular indemnizacion trafico;50;0%;0%;Desconocido;;;
especialista en hernia discal;50;0%;0%;Medio;61;18.85;44.00
en caso de accidente laboral;50;0%;-100%;Desconocido;;;
indemnización por fractura meseta tibial;50;0%;-100%;Desconocido;;;
accidente in itinere indemnización;50;0%;-100%;Desconocido;;;
abogado laboral art;50;0%;0%;Medio;60;189.07;820.83
indemnización por lesiones;50;0%;0%;Medio;41;99.91;406.89
reclamar indemnización por accidente laboral;50;0%;0%;Desconocido;;;
ley de indemnización por accidente laboral;50;0%;0%;Medio;48;82.82;343.05
derechos después de un accidente laboral;50;0%;0%;Bajo;29;;
indemnización por fractura de tobillo;50;0%;0%;Alto;71;;
tratamiento para hernia lumbar;50;0%;0%;Bajo;31;12.27;41.14
indemnización por riesgo de trabajo;50;0%;0%;Medio;35;36.28;202.73
accidente in itinere quién paga;50;0%;0%;Alto;71;;
indemnización por enfermedad profesional;50;0%;0%;Medio;47;45.83;177.60
indemnización por pérdida de falange;50;0%;0%;Bajo;29;29.34;465.00
calcular mi indemnización;50;0%;0%;Bajo;30;22.97;127.77
si tengo un accidente laboral que debo hacer;50;0%;0%;Medio;49;49.46;344.20
accidente in itinere cuánto se cobra;50;0%;∞;Bajo;29;;
incapacidad por accidente de trabajo;50;0%;0%;Medio;43;92.45;426.65
casos de indemnización por accidente laboral;50;0%;0%;Bajo;29;;
tuve un accidente laboral;50;0%;0%;Medio;47;93.48;393.39
indemnización por hernia discal por accidente laboral;50;0%;0%;Medio;38;;
accidente in itinere cuanto se cobra;50;0%;-100%;Desconocido;;;
hernia discal cervical tratamiento;50;0%;0%;Bajo;31;10.06;57.36
accidente laboral in itinere;50;0%;0%;Bajo;29;64.32;313.14
operación de hernia discal precio;50;0%;0%;Medio;52;;
accidente laboral que hacer;50;0%;0%;Medio;40;66.66;226.22
cirugia hernia lumbar;50;0%;0%;Bajo;19;3.83;310.74
indemnización por fractura de muñeca;50;0%;0%;Bajo;32;41.02;243.87
reclamar accidente laboral;50;0%;0%;Desconocido;;;
accidente de trabajo indemnización;50;0%;0%;Medio;44;67.27;293.53
seguro de trabajo que cubre;50;0%;0%;Medio;44;48.74;193.75
hernia discal tratamiento sin cirugía;50;0%;0%;Bajo;32;14.46;51.86
la hernia discal tiene cura;50;0%;0%;Bajo;18;15.10;41.61
pago por accidente laboral;50;0%;0%;Medio;36;39.25;171.00
hernia espalda baja;50;0%;0%;Bajo;11;9.89;41.61
cirugia de hernia lumbar;50;0%;0%;Bajo;23;14.12;160.17
accidente laboral y despido;50;0%;0%;Bajo;7;;
cálculo de indemnización por accidente de tránsito;50;0%;0%;Bajo;22;9.35;472.42
ejercicios hernia discal;50;0%;0%;Bajo;8;12.90;24.06
pago por accidente de trabajo;50;0%;0%;Medio;39;;
hernia disco cervical;50;0%;0%;Bajo;22;10.02;41.57
operación de hernia discal l4 l5;50;0%;-90%;Bajo;33;24.30;271.08
hernia en la columna vertebral;50;0%;0%;Bajo;6;;
indemnizacion x accidente laboral;50;0%;0%;Alto;71;34.05;123.93
incapacidad permanente por accidente laboral;50;0%;∞;Bajo;0;;
indemnización por accidente laboral baremo;50;0%;0%;Desconocido;;;
indemnización por pérdida de un dedo;50;0%;-100%;Desconocido;;;
si tengo accidente laboral quien me paga;50;0%;∞;Bajo;21;;
discos de la columna desviados;50;0%;0%;Bajo;9;12.39;60.99
indemnizacion por accidente art;50;0%;0%;Medio;51;38.94;199.31
incapacidad por accidente laboral;50;0%;0%;Bajo;29;;
tuve un accidente laboral me corresponde indemnización;50;0%;0%;Medio;48;;
demanda civil por accidente de trabajo;50;0%;0%;Medio;60;;
hernia de columna;50;0%;0%;Bajo;20;13.99;41.60
calculo lesiones;50;0%;0%;Bajo;25;;
tratamiento de columna sin cirugía;50;0%;0%;Bajo;33;28.04;224.39
