Keyword research CALCULADORA DESPIDO;;;;;;;;;;;;;;;;;;;;;;;;
1 de marzo de 2024 - 28 de febrero de 2025;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Keyword;Avg. monthly searches;Cambio en los œltimos tres meses;Cambio interanual;Competition;Competition (indexed value);Top of page bid (low range);Top of page bid (high range);Ad impression share;Organic impression share;Organic average position;In account?;In plan?;Searches: Mar 2024;Searches: Apr 2024;Searches: May 2024;Searches: Jun 2024;Searches: Jul 2024;Searches: Aug 2024;Searches: Sep 2024;Searches: Oct 2024;Searches: Nov 2024;Searches: Dec 2024;Searches: Jan 2025;Searches: Feb 2025
indemnizacion preaviso;320;0%;-19%;Bajo;18;45.03;142.60;;;;;;320;390;320;320;260;260;260;260;260;260;260;260
que me corresponde si me despiden;260;23%;0%;Alto;74;83.76;305.55;;;;;;320;320;320;260;210;260;260;260;260;260;260;320
si me despiden cuanto me tienen que pagar;260;53%;-19%;Medio;63;71.79;240.97;;;;;;390;260;260;210;210;260;210;210;210;170;210;260
calculo indemnizacion laboral;260;-19%;-19%;Bajo;29;51.72;173.67;;;;;;320;320;320;260;260;320;210;260;260;260;210;210
calculadora de indemnizacion argentina;260;24%;53%;Medio;60;52.61;188.45;;;;;;260;260;210;170;170;320;260;320;260;210;210;260
calculadora de liquidacion final por renuncia;260;86%;0%;Bajo;29;26.76;118.92;;;;;;480;390;320;260;210;260;210;210;170;210;260;390
c‡lculo indemnizaci—n laboral;260;-19%;-19%;Bajo;29;51.72;173.67;;;;;;320;320;320;260;260;320;210;260;260;260;210;210
despido art 245;260;24%;0%;Bajo;15;96.36;253.83;;;;;;260;320;260;210;210;210;210;260;210;210;260;260
indemnizacion por preaviso;210;24%;-19%;Bajo;21;34.60;142.65;;;;;;260;260;320;210;210;210;170;210;210;170;170;210
despido con indemnizacion;210;0%;-19%;Medio;40;57.14;280.73;;;;;;260;320;260;170;170;170;170;170;170;170;170;170
calcular liquidaci—n laboral;210;24%;-34%;Bajo;30;44.09;304.64;;;;;;260;260;210;170;170;170;210;210;210;170;140;210
calculadora de despido injustificado;210;24%;50%;Medio;44;60.32;154.91;;;;;;170;210;260;210;170;210;210;210;210;170;210;210
simulador de despido;210;86%;0%;Medio;37;64.36;217.33;;;;;;320;260;260;170;170;170;170;210;170;140;260;260
liquidacion de sueldo por despido;210;24%;-19%;Medio;50;78.11;274.21;;;;;;260;260;210;210;140;140;140;170;170;170;170;210
calculadora de aguinaldo proporcional;210;-97%;-25%;Bajo;8;;;;;;;;30;40;210;590;260;40;50;110;320;1000;70;30
calcular pago de vacaciones;210;-19%;-34%;Bajo;6;2.20;11.34;;;;;;260;170;90;110;110;170;70;170;260;480;480;390
calculo para sacar liquidacion laboral;210;24%;-34%;Bajo;30;44.09;304.64;;;;;;260;260;210;170;170;170;210;210;210;170;140;210
indemnizacion por despido servicio domestico calculo;210;22%;-72%;Medio;45;53.19;184.73;;;;;;320;390;320;210;210;210;210;210;140;90;70;110
indemnizaci—n quŽ significa;210;27%;-33%;Bajo;0;;;;;;;;260;320;320;260;170;210;260;210;170;110;110;140
por despido cuanto me corresponde;170;22%;-35%;Alto;73;90.10;248.76;;;;;;260;210;170;140;170;170;140;140;140;90;110;110
si me echan del trabajo cuanto me tienen que pagar;170;50%;0%;Alto;73;86.10;233.87;;;;;;260;260;320;210;210;170;50;110;140;140;170;210
antiguedad art 245;170;55%;21%;Bajo;10;62.86;176.10;;;;;;170;170;210;170;170;170;170;170;140;110;170;170
calculador de liquidacion final por despido;170;27%;-18%;Medio;41;51.82;149.08;;;;;;210;210;210;170;210;170;110;140;140;110;140;140
calculadora indemnizaci—n por despido argentina;170;0%;55%;Medio;59;60.32;182.68;;;;;;170;170;170;140;210;170;170;170;170;170;170;170
calcular indemnizaci—n por despido uocra;170;22%;-72%;Medio;50;83.16;244.83;;;;;;390;390;320;170;170;110;140;90;90;90;110;110
calcular proporcional aguinaldo;170;-92%;-20%;Bajo;28;2.53;21.41;;;;;;70;90;170;390;210;70;70;110;210;480;40;40
calculo del preaviso;170;55%;0%;Bajo;7;42.99;391.75;;;;;;170;170;170;140;140;170;140;170;140;110;140;170
calculo incapacidad laboral;170;27%;-18%;Medio;40;33.70;92.85;;;;;;210;170;210;170;170;170;170;170;140;110;110;140
cu‡l es la indemnizaci—n por despido;170;0%;143%;Medio;65;7.28;228.20;;;;;;170;170;170;210;170;110;90;140;210;170;170;170
empleada domestica indemnizacion por despido;170;0%;-35%;Bajo;32;39.80;175.83;;;;;;260;260;210;90;90;110;140;110;110;170;170;170
indemnizacion agravada;170;57%;0%;Bajo;14;65.17;164.60;;;;;;110;170;260;480;140;110;140;110;170;70;90;110
liquidacion laboral despido;170;24%;0%;Medio;41;93.94;259.90;;;;;;260;210;170;170;140;170;170;140;170;170;110;210
si me echan cuanto me tienen que pagar;170;55%;-19%;Medio;54;85.65;257.69;;;;;;260;260;260;140;140;170;140;210;170;110;170;170
simulador indemnizacion;170;21%;-19%;Medio;34;51.12;160.60;;;;;;210;260;260;170;110;210;170;170;170;140;210;170
simulador indemnizaciones;170;21%;-19%;Medio;34;51.12;160.60;;;;;;210;260;260;170;110;210;170;170;170;140;210;170
liquidacion despido con causa;140;22%;-21%;Medio;41;57.56;190.19;;;;;;170;170;170;140;140;140;140;140;140;90;110;110
calcula tu indemnizaci—n;140;56%;-18%;Medio;49;54.54;234.65;;;;;;170;170;140;110;110;110;110;110;140;90;110;140
calculo de liquidacion por despido;140;-18%;0%;Medio;50;69.12;211.89;;;;;;170;140;170;110;110;140;110;110;110;170;110;140
simulador indemnizaci—n por despido;140;0%;-21%;Medio;41;78.43;185.02;;;;;;210;210;170;140;90;140;90;110;140;110;140;110
calculadora de indemnizacion por despido argentina;140;21%;55%;Medio;61;68.62;213.67;;;;;;140;170;170;90;90;140;90;110;140;140;110;170
calculadora indemnizacion por despido sin causa;140;0%;0%;Medio;34;53.19;176.44;;;;;;140;140;140;140;140;110;110;90;140;210;260;210
calcular indemnizaci—n por despido sin causa;140;0%;0%;Medio;34;53.19;176.44;;;;;;140;140;140;140;140;110;110;90;140;210;260;210
calculo de indemnizacion por despido sin causa;140;21%;55%;Bajo;33;64.87;196.64;;;;;;170;210;210;110;50;70;110;110;140;140;170;170
cuanto me pagan si renuncio;140;57%;-21%;Medio;52;46.42;154.05;;;;;;170;140;140;110;90;140;140;140;110;70;140;110
c‡lculo indemnizaci—n por despido trabajador rural;140;100%;-33%;Medio;49;45.02;180.48;;;;;;210;260;210;170;170;170;140;110;90;70;140;140
despido con causa indemnizacion;140;0%;21%;Medio;51;14.94;168.39;;;;;;140;110;140;90;110;110;110;140;140;170;110;170
despido liquidacion;140;27%;-18%;Medio;38;78.50;254.45;;;;;;210;210;170;140;170;140;170;170;140;110;110;140
formula de liquidacion por despido;140;-18%;0%;Medio;50;69.12;211.89;;;;;;170;140;170;110;110;140;110;110;110;170;110;140
indemnizacion art 245;140;0%;-21%;Bajo;15;53.19;139.18;;;;;;140;140;170;140;140;110;110;140;110;110;90;110
indemnizacion por fallecimiento del empleador;140;27%;-18%;Bajo;25;38.36;214.13;;;;;;140;170;110;170;170;140;110;110;110;110;110;140
indemnizaci—n por despido en per’odo de reserva de puesto;140;29%;-57%;Medio;54;83.48;268.08;;;;;;170;170;170;140;140;170;140;110;70;70;90;90
lct preaviso;140;27%;0%;Bajo;2;;;;;;;;170;140;140;140;110;140;90;140;110;110;110;140
reforma laboral indemnizaciones;140;-33%;100%;Medio;39;5.12;10.87;;;;;;30;210;170;210;70;110;720;70;50;30;20;20
calculadora indemnizacion argentina;110;29%;-18%;Medio;46;47.06;157.60;;;;;;140;140;140;110;70;90;90;110;90;70;90;90
calculo art 2 ley 25323;110;29%;-36%;Bajo;13;48.12;392.48;;;;;;170;210;170;170;110;110;110;110;70;70;50;90
calculo de liquidacion final por despido;110;29%;-18%;Medio;40;78.36;268.31;;;;;;140;170;140;110;90;140;140;110;140;70;90;90
cuanto me corresponde de indemnizacion;110;89%;55%;Medio;58;71.14;238.02;;;;;;140;90;70;50;110;110;70;110;110;90;140;170
c‡lculo indemnizaci—n empleada domŽstica;110;0%;0%;Medio;38;31.41;184.95;;;;;;140;110;170;110;90;90;90;70;110;140;140;140
despido directo;110;-22%;-36%;Bajo;15;60.32;166.32;;;;;;110;110;140;170;90;110;140;140;170;90;50;70
despido sin causa liquidacion;110;22%;-21%;Bajo;31;67.49;196.88;;;;;;140;110;110;110;110;110;110;90;110;90;110;110
ignacio online calculadora despido;110;-36%;-18%;Bajo;9;41.26;172.05;;;;;;90;110;110;90;110;110;110;140;140;140;110;90
indemnizaci—n por despido casas particulares;110;56%;-33%;Medio;34;49.80;208.60;;;;;;110;140;110;90;110;110;90;90;90;90;110;140
indemnizaci—n por despido empleado de comercio;110;29%;-36%;Bajo;29;3.28;139.85;;;;;;170;140;140;140;90;90;90;110;90;70;70;90
liquidacion final por despido sin causa;110;22%;-21%;Bajo;31;81.10;200.90;;;;;;140;140;140;110;110;90;90;70;70;90;110;110
si renuncio me corresponde indemnizaci—n;110;89%;89%;Medio;55;6.19;229.58;;;;;;90;90;70;90;110;110;170;140;170;90;140;170
simulador de indemnizacion por despido;110;80%;-18%;Medio;47;73.38;218.47;;;;;;140;140;140;70;110;90;90;110;110;50;90;90
indemnizaci—n por despido sin justa causa;90;-29%;-29%;Medio;44;62.93;250.29;;;;;;90;110;90;90;90;90;90;90;90;70;50;50
indemnizaci—n laboral calculadora;90;29%;29%;Bajo;28;49.05;174.86;;;;;;90;110;110;90;70;70;50;70;70;70;90;90
cuanto me corresponde de indemnizaci—n por despido;90;0%;-64%;Medio;64;62.93;202.46;;;;;;210;170;170;90;40;50;90;50;70;50;70;50
despido sin indemnizaci—n;90;-50%;-75%;Medio;41;94.90;169.72;;;;;;70;210;210;210;90;70;70;40;30;20;30;10
indemnizaci—n por cierre de empresa;90;-29%;-29%;Medio;41;34.50;131.81;;;;;;90;140;110;50;90;70;70;90;70;70;70;50
cuanto te corresponde si te despiden;90;29%;-36%;Medio;67;77.77;247.43;;;;;;170;140;90;70;90;90;70;70;90;70;110;90
calcular indemnizaci—n por cierre de empresa;90;0%;-36%;Medio;45;52.88;190.98;;;;;;110;140;170;90;90;70;70;70;50;70;50;70
calculo de indemnizacion por renuncia;90;57%;-21%;Bajo;33;33.28;148.04;;;;;;110;110;110;110;90;110;90;90;70;70;110;110
c‡lculo de indemnizaci—n por despido por embarazo;90;0%;-36%;Medio;55;54.25;264.22;;;;;;110;90;90;110;70;70;90;90;90;90;70;90
c‡lculo liquidaci—n final por abandono de trabajo;90;29%;-47%;Medio;53;58.71;215.11;;;;;;170;110;110;110;70;90;70;70;50;70;90;90
despido art 245 lct;90;0%;-50%;Bajo;11;;;;;;;;140;140;140;110;110;70;70;70;70;70;70;70
despido directo e indirecto;90;0%;0%;Bajo;16;53.26;272.89;;;;;;70;70;70;140;90;90;90;90;140;70;30;70
despido sin causa art 245;90;-44%;0%;Bajo;30;64.24;228.85;;;;;;70;90;110;70;110;90;70;90;110;90;50;50
doble indemnizacion por despido;90;125%;-47%;Bajo;32;54.58;200.94;;;;;;260;170;140;70;40;40;50;50;30;40;70;90
horas extras calcular;90;0%;-36%;Bajo;11;27.58;224.83;;;;;;110;110;110;90;70;70;90;70;70;70;70;70
indemnizacion empleados de comercio;90;80%;-18%;Bajo;32;49.47;144.09;;;;;;140;110;110;110;110;90;90;70;90;50;90;90
indemnizacion por falta de preaviso;90;29%;0%;Bajo;21;61.59;221.88;;;;;;70;110;110;90;50;90;90;90;110;70;70;90
indemnizacion por muerte del empleador;90;0%;-22%;Bajo;16;47.50;152.45;;;;;;110;110;140;110;110;110;90;90;70;70;90;70
indemnizaci—n laboral calculo;90;29%;29%;Bajo;28;49.05;174.86;;;;;;90;110;110;90;70;70;50;70;70;70;90;90
liquidacion calculo de indemnizacion;90;-29%;-64%;Bajo;4;;;;;;;;140;90;110;90;70;90;70;70;70;70;70;50
liquidaci—n final empleada domŽstica por despido;90;29%;-18%;Bajo;29;67.02;179.29;;;;;;140;110;90;70;70;50;70;90;70;70;90;90
si me despiden cuanto me pagan;90;-29%;-44%;Medio;53;89.78;241.92;;;;;;110;110;90;70;70;90;70;90;50;70;70;50
indemnizaci—n por despido injustificado;70;0%;-29%;Medio;48;8.61;260.38;;;;;;90;90;90;70;50;50;70;70;70;50;70;50
como saber cuanto me corresponde de liquidacion;70;0%;-22%;Medio;66;89.51;257.00;;;;;;90;90;70;70;70;70;70;70;70;70;70;70
calcular mi indemnizaci—n;70;0%;-36%;Medio;48;73.34;201.68;;;;;;90;90;90;70;90;70;70;70;90;70;70;70
liquidaci—n laboral por despido;70;25%;0%;Medio;39;116.17;252.55;;;;;;70;70;90;90;70;50;90;50;40;40;30;50
simulador despido;70;0%;-44%;Medio;36;47.95;159.81;;;;;;110;90;90;50;50;50;30;50;70;50;50;50
calculador de despido sin causa;70;25%;-64%;Medio;38;67.64;250.97;;;;;;140;140;70;70;70;40;50;50;30;40;40;50
calculador de indemnizacion argentina;70;0%;40%;Medio;60;49.47;169.96;;;;;;70;90;90;70;90;90;70;70;50;70;70;70
calculadora de despido sin causa;70;25%;-64%;Medio;38;67.64;250.97;;;;;;140;140;70;70;70;40;50;50;30;40;40;50
calculadora de liquidaciones laborales;70;29%;29%;Medio;36;43.84;393.32;;;;;;50;50;70;50;40;70;90;70;70;70;70;90
calculadora indemnizacion empleada domestica;70;40%;-36%;Bajo;18;33.19;176.34;;;;;;90;90;70;50;70;70;70;50;70;50;50;70
calculadora laboral indemnizacion;70;40%;133%;Bajo;28;42.83;167.51;;;;;;110;50;90;90;90;50;20;50;70;50;40;70
cuanto me corresponde si me despiden de mi trabajo;70;57%;57%;Alto;69;66.34;235.24;;;;;;90;50;50;40;50;90;70;90;110;70;110;110
c‡lculo de indemnizaciones;70;40%;-36%;Medio;33;45.81;224.83;;;;;;90;110;90;50;70;70;70;90;70;50;70;70
despido por embarazo lct;70;0%;67%;Bajo;17;75.96;214.13;;;;;;30;50;70;70;50;70;90;70;70;50;50;50
indemnizacion casas particulares;70;0%;-22%;Bajo;19;3.68;156.43;;;;;;90;90;90;90;90;70;70;70;70;70;70;70
indemnizacion contrato eventual;70;0%;-44%;Bajo;28;71.26;162.30;;;;;;110;140;110;90;70;70;70;50;50;50;40;50
indemnizacion por embarazo;70;40%;0%;Bajo;9;3.45;91.47;;;;;;70;90;50;70;50;50;50;70;70;50;50;70
indemnizacion por fallecimiento empleador;70;0%;-29%;Bajo;14;19.53;141.05;;;;;;90;90;70;70;90;90;90;90;70;50;70;50
indemnizacion servicio domestico;70;0%;-55%;Bajo;24;5.62;157.20;;;;;;90;70;90;50;70;50;70;70;70;50;50;50
indemnizacion sustitutiva de preaviso calculo;70;100%;-43%;Bajo;27;36.01;139.14;;;;;;90;110;90;70;70;70;40;50;50;20;30;40
integracion mes de despido como se calcula;70;-20%;-43%;Bajo;21;56.79;195.52;;;;;;90;70;50;70;70;50;90;70;70;50;30;40
ley de indemnizaci—n por despido;70;-71%;100%;Medio;61;5.23;170.80;;;;;;20;110;140;70;70;90;90;90;70;70;10;20
liquidacion final despido sin causa;70;0%;-36%;Bajo;32;42.83;152.36;;;;;;90;70;50;70;50;70;70;90;70;70;50;70
liquidacion final por despido con causa;70;0%;-29%;Medio;39;44.05;221.99;;;;;;90;70;70;90;40;50;50;50;50;50;50;50
marin pistachia calculadora indemnizacion;70;40%;40%;Bajo;17;48.17;127.24;;;;;;40;50;70;70;70;70;70;70;70;50;40;70
me corresponde indemnizacion si renuncio;70;75%;40%;Alto;67;69.58;350.30;;;;;;70;70;70;70;70;70;70;70;30;40;70;70
sacar finiquito;70;57%;57%;Bajo;30;43.53;153.28;;;;;;50;30;20;50;70;70;50;90;70;70;90;110
si te despiden con causa te indemnizan;70;40%;40%;Medio;62;58.82;319.05;;;;;;70;70;110;70;30;50;70;90;90;50;70;70
si trabaje un mes me corresponde aguinaldo;70;-97%;0%;Medio;57;2.72;111.42;;;;;;10;10;50;260;70;10;10;10;90;320;40;10
calculadora de despido argentina;50;-20%;-20%;Medio;54;56.80;176.31;;;;;;50;50;40;50;50;50;50;50;70;50;40;40
liquidacion por despido injustificado;50;33%;-43%;Medio;64;96.36;208.00;;;;;;70;70;70;50;70;70;30;50;30;30;30;40
calculo de indemnizacion laboral;50;33%;-43%;Medio;36;81.49;207.34;;;;;;90;50;70;40;40;50;50;40;30;30;20;40
despido sin justa causa liquidacion;50;-25%;-67%;Medio;34;83.31;283.94;;;;;;70;90;70;50;50;50;40;40;40;40;40;30
cuanta indemnizaci—n me corresponde por despido;50;25%;-29%;Medio;63;67.92;278.36;;;;;;50;50;50;30;40;40;40;40;40;40;50;50
si te despiden cuanto te tienen que pagar;50;57%;0%;Alto;68;55.61;202.65;;;;;;90;20;10;20;20;10;10;20;40;70;90;110
calculadora despido empleada domestica;50;25%;-29%;Bajo;13;46.89;245.57;;;;;;70;70;70;40;50;40;30;50;40;40;30;50
calculadora despido ignacio online;50;-57%;-40%;Bajo;10;;;;;;;;70;70;70;50;40;30;30;40;70;70;20;30
calculadora despido laboral;50;67%;-29%;Bajo;27;49.49;170.36;;;;;;90;70;50;30;40;50;50;40;50;30;30;50
calculadora despido monotributista;50;100%;-43%;Medio;45;57.93;178.54;;;;;;70;90;90;70;70;50;50;70;40;20;30;40
calculadora indemnizacion renuncia;50;75%;40%;Bajo;25;27.63;133.61;;;;;;50;70;50;50;40;50;70;90;70;40;70;70
calculadora indemnizaci—n por despido empleada domŽstica;50;0%;-55%;Bajo;28;56.69;172.08;;;;;;90;90;90;40;40;40;30;30;70;50;40;50
calculadora por indemnizacion;50;-67%;-86%;Medio;48;50.26;126.77;;;;;;70;110;70;50;50;50;70;70;50;30;20;10
calcular indemnizaci—n argentina;50;0%;0%;Medio;55;56.04;203.23;;;;;;70;70;50;40;40;50;50;50;50;50;40;50
calcular vacaciones no gozadas por despido;50;50%;-73%;Bajo;10;;;;;;;;110;90;90;70;50;40;50;40;30;20;20;30
calculo art 1 ley 25323;50;33%;-43%;Bajo;14;69.36;218.12;;;;;;70;70;70;90;50;50;40;40;50;30;20;40
calculo de despido sin causa;50;0%;25%;Medio;48;74.61;152.38;;;;;;70;70;70;50;40;40;30;40;50;50;70;50
calculo indemnizatorio;50;0%;40%;Bajo;32;48.59;158.01;;;;;;70;50;50;30;40;50;50;70;70;70;40;70
calculo por indemnizacion;50;-67%;-86%;Medio;48;50.26;126.77;;;;;;70;110;70;50;50;50;70;70;50;30;20;10
cuanto de liquidacion me corresponde;50;40%;40%;Medio;64;84.49;217.32;;;;;;90;50;50;50;50;70;50;50;40;50;50;70
cuanto tarda la liquidacion por renuncia;50;0%;0%;Medio;42;46.76;171.04;;;;;;70;70;30;50;50;70;50;50;50;50;50;50
cuanto tengo que cobrar si me despiden;50;133%;-22%;Alto;69;58.32;233.72;;;;;;70;110;70;40;50;40;40;70;40;30;50;70
